127.0.0.1 - - [10/Jan/2021:21:32:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/css/base.css HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/css/header.css HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/css/mainpage.css HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/css/content-area.css HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/css/content.css HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/css/nav.css HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/css/tom.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/css/footer.css HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/images/rocket.png HTTP/1.1" 200 106417
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/css/ad.css HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/images/q2q2.jpg HTTP/1.1" 200 117433
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/images/loading.gif HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/images/kh.png HTTP/1.1" 200 1110612
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/images/QNET.JPG HTTP/1.1" 200 10940
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:04 +0900] "GET /Semi_Project/resources/images/KDATA.JPG HTTP/1.1" 200 9782
